measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Europe,Both,15 to 19,Major depressive disorder,Percent,1990,0.025456013831379458,0.034457794521351254,0.018628208122677035
Prevalence,Europe,Both,20 to 24,Major depressive disorder,Percent,1990,0.03293976164025015,0.043375853689064235,0.023448345002910355
Prevalence,Europe,Both,25 to 29,Major depressive disorder,Percent,1990,0.03172889665170965,0.04154008198009206,0.02407352418146962
Prevalence,Europe,Both,30 to 34,Major depressive disorder,Percent,1990,0.031614803001839886,0.042338613577514915,0.022991775037745566
Prevalence,Europe,Both,35 to 39,Major depressive disorder,Percent,1990,0.03416372528383023,0.04169262554616562,0.02747746238800868
Prevalence,Europe,Both,40 to 44,Major depressive disorder,Percent,1990,0.037154697050925105,0.04692434173895868,0.028480180341146865
Prevalence,Europe,Both,45 to 49,Major depressive disorder,Percent,1990,0.03896323705127618,0.04687050668562322,0.03188779665747928
Prevalence,Europe,Both,50 to 54,Major depressive disorder,Percent,1990,0.039964962798859985,0.047348460279241285,0.03307392894495297
Prevalence,Europe,Both,55 to 59,Major depressive disorder,Percent,1990,0.04199519519240711,0.05065810709150857,0.03364236598828665
Prevalence,Europe,Both,60 to 64,Major depressive disorder,Percent,1990,0.04403157141040464,0.05311936287632325,0.034445318543771856
Prevalence,Europe,Both,65 to 69,Major depressive disorder,Percent,1990,0.04508439620532105,0.05224329396987602,0.03768527896909958
Prevalence,Europe,Both,70 to 74,Major depressive disorder,Percent,1990,0.04576468616373321,0.05431993791105216,0.038157214182532304
Prevalence,Europe,Both,75 to 79,Major depressive disorder,Percent,1990,0.046377993888525336,0.05825579296044471,0.0357649351496981
Prevalence,Europe,Both,80 to 84,Major depressive disorder,Percent,1990,0.04723121790280921,0.059140236607981365,0.03543292993731313
Prevalence,Europe,Both,85 to 89,Major depressive disorder,Percent,1990,0.04926277132123281,0.06027717185452529,0.03932932475564123
Prevalence,Europe,Both,90 to 94,Major depressive disorder,Percent,1990,0.051293262061429645,0.06792177342190413,0.038560968648991285
Prevalence,Europe,Both,95 plus,Major depressive disorder,Percent,1990,0.05370871750441063,0.0767027990052511,0.035077129251329844
Prevalence,Europe,Both,15 to 19,Dysthymia,Percent,1990,0.007921330933176183,0.011729677244491421,0.005023684525944493
Prevalence,Europe,Both,20 to 24,Dysthymia,Percent,1990,0.012875359045229967,0.01859508982280838,0.008344684530922637
Prevalence,Europe,Both,25 to 29,Dysthymia,Percent,1990,0.015678044836328477,0.02221752570804002,0.01042411928262095
Prevalence,Europe,Both,30 to 34,Dysthymia,Percent,1990,0.017180611260646947,0.023458115827152817,0.012730636308630472
Prevalence,Europe,Both,35 to 39,Dysthymia,Percent,1990,0.018043395938047872,0.024250308773948185,0.01367390316047461
Prevalence,Europe,Both,40 to 44,Dysthymia,Percent,1990,0.018438842523482043,0.025883903859591738,0.0131400568124642
Prevalence,Europe,Both,45 to 49,Dysthymia,Percent,1990,0.018371974320369727,0.02595834885695683,0.013044981984886815
Prevalence,Europe,Both,50 to 54,Dysthymia,Percent,1990,0.018174226313439238,0.02451018435167435,0.013647195817777274
Prevalence,Europe,Both,55 to 59,Dysthymia,Percent,1990,0.017757417657819047,0.023907503133726936,0.013149952853963028
Prevalence,Europe,Both,60 to 64,Dysthymia,Percent,1990,0.017326485826691468,0.024105021526418784,0.011759072087240705
Prevalence,Europe,Both,65 to 69,Dysthymia,Percent,1990,0.016489327405735187,0.023219536795408783,0.011063780825559639
Prevalence,Europe,Both,70 to 74,Dysthymia,Percent,1990,0.015368579801453798,0.020750516052464845,0.01092396164415286
Prevalence,Europe,Both,75 to 79,Dysthymia,Percent,1990,0.014065640637383546,0.018831166465841067,0.010432248897230309
Prevalence,Europe,Both,80 to 84,Dysthymia,Percent,1990,0.012912667557597136,0.018411043698381386,0.008766316312848686
Prevalence,Europe,Both,85 to 89,Dysthymia,Percent,1990,0.012300731639997974,0.017335414890327968,0.00849913722250933
Prevalence,Europe,Both,90 to 94,Dysthymia,Percent,1990,0.01203368319641582,0.016905057135789048,0.00837608130527255
Prevalence,Europe,Both,95 plus,Dysthymia,Percent,1990,0.01200308981658418,0.01902434718632632,0.007768718411871339
Prevalence,Europe,Both,15 to 19,Bipolar disorder,Percent,1990,0.008937622687636633,0.012622236972685627,0.00609489112467256
Prevalence,Europe,Both,20 to 24,Bipolar disorder,Percent,1990,0.011144752032916642,0.01482369073471817,0.008056118312952736
Prevalence,Europe,Both,25 to 29,Bipolar disorder,Percent,1990,0.011007939146534128,0.014352786425776814,0.00826562780228913
Prevalence,Europe,Both,30 to 34,Bipolar disorder,Percent,1990,0.01040587468709687,0.013523330950851953,0.007825780446884591
Prevalence,Europe,Both,35 to 39,Bipolar disorder,Percent,1990,0.010238302183945443,0.013201874877633425,0.007841431725197535
Prevalence,Europe,Both,40 to 44,Bipolar disorder,Percent,1990,0.010574675145438318,0.013530224009056542,0.007982736451567477
Prevalence,Europe,Both,45 to 49,Bipolar disorder,Percent,1990,0.01062615483948529,0.013799744232542,0.008013019628615939
Prevalence,Europe,Both,50 to 54,Bipolar disorder,Percent,1990,0.01017447213173494,0.013624599529959317,0.007415117043493458
Prevalence,Europe,Both,55 to 59,Bipolar disorder,Percent,1990,0.010250590557871902,0.01332148069326139,0.007814639030525735
Prevalence,Europe,Both,60 to 64,Bipolar disorder,Percent,1990,0.010007640773386884,0.01255750981548068,0.007853079140054307
Prevalence,Europe,Both,65 to 69,Bipolar disorder,Percent,1990,0.009823003922270875,0.012640919941656925,0.007450880095054839
Prevalence,Europe,Both,70 to 74,Bipolar disorder,Percent,1990,0.008872783753301878,0.011555883488681189,0.0066523012213155685
Prevalence,Europe,Both,75 to 79,Bipolar disorder,Percent,1990,0.007390318270068768,0.009651565827951744,0.005487414873356593
Prevalence,Europe,Both,80 to 84,Bipolar disorder,Percent,1990,0.00603226918626789,0.007922061989552176,0.0044595070333211
Prevalence,Europe,Both,85 to 89,Bipolar disorder,Percent,1990,0.004904876637138633,0.006610466177479783,0.003588569434647262
Prevalence,Europe,Both,90 to 94,Bipolar disorder,Percent,1990,0.0040578268214253675,0.005534192171594591,0.0029315193451069097
Prevalence,Europe,Both,95 plus,Bipolar disorder,Percent,1990,0.0033102467562122913,0.004669011077842297,0.002211503202583012
Prevalence,Europe,Both,15 to 19,Anxiety disorders,Percent,1990,0.06123847100983465,0.07992942860143888,0.04592369595291933
Prevalence,Europe,Both,20 to 24,Anxiety disorders,Percent,1990,0.059383877773594676,0.08032734977086135,0.043208576260103104
Prevalence,Europe,Both,25 to 29,Anxiety disorders,Percent,1990,0.05566956006041474,0.07784667480406798,0.03957462524636193
Prevalence,Europe,Both,30 to 34,Anxiety disorders,Percent,1990,0.052829524286126556,0.07145060628353618,0.03927079263103664
Prevalence,Europe,Both,35 to 39,Anxiety disorders,Percent,1990,0.05163048394623402,0.06671945956589456,0.03894804071145825
Prevalence,Europe,Both,40 to 44,Anxiety disorders,Percent,1990,0.0520320599728202,0.06976843225836182,0.0377203924443556
Prevalence,Europe,Both,45 to 49,Anxiety disorders,Percent,1990,0.052429419287689835,0.07051269356543288,0.03719720637712034
Prevalence,Europe,Both,50 to 54,Anxiety disorders,Percent,1990,0.051042682467469076,0.06646940067264653,0.038322636265053896
Prevalence,Europe,Both,55 to 59,Anxiety disorders,Percent,1990,0.051893961868850154,0.06633137380714663,0.04036496095212519
Prevalence,Europe,Both,60 to 64,Anxiety disorders,Percent,1990,0.052111393629539975,0.06888028102698718,0.039020181772854094
Prevalence,Europe,Both,65 to 69,Anxiety disorders,Percent,1990,0.05406899900077237,0.07422716434410359,0.03981953040180311
Prevalence,Europe,Both,70 to 74,Anxiety disorders,Percent,1990,0.05255885965406019,0.07202491184696005,0.03954162558969794
Prevalence,Europe,Both,75 to 79,Anxiety disorders,Percent,1990,0.05174755053434325,0.06944905122728409,0.0397680225688528
Prevalence,Europe,Both,80 to 84,Anxiety disorders,Percent,1990,0.04996195426214852,0.06587453388771895,0.03768429991617548
Prevalence,Europe,Both,85 to 89,Anxiety disorders,Percent,1990,0.04673884141071205,0.061782095109171264,0.034407623591045954
Prevalence,Europe,Both,90 to 94,Anxiety disorders,Percent,1990,0.04237357755331537,0.05720780405610376,0.030070510259089037
Prevalence,Europe,Both,95 plus,Anxiety disorders,Percent,1990,0.03661868946894971,0.05121753373784274,0.02471410210985674
Prevalence,Oceania,Both,15 to 19,Dysthymia,Percent,1991,0.005103030158079246,0.0078004658090868794,0.003024090841576286
Prevalence,Oceania,Both,20 to 24,Dysthymia,Percent,1991,0.009192430586267874,0.01418206487397879,0.005375717936083285
Prevalence,Oceania,Both,25 to 29,Dysthymia,Percent,1991,0.01334666057098983,0.02011042342708723,0.008691501999070867
Prevalence,Oceania,Both,30 to 34,Dysthymia,Percent,1991,0.017449854470919037,0.02538971065640014,0.012203976158527943
Prevalence,Oceania,Both,35 to 39,Dysthymia,Percent,1991,0.021642151335340927,0.03143308074046418,0.014883759518694993
Prevalence,Oceania,Both,40 to 44,Dysthymia,Percent,1991,0.02557794526581577,0.038107836423205116,0.016236961295103967
Prevalence,Oceania,Both,45 to 49,Dysthymia,Percent,1991,0.02788472629566524,0.04146128016934603,0.018140656012827668
Prevalence,Oceania,Both,50 to 54,Dysthymia,Percent,1991,0.028974143473190793,0.04137797481691968,0.020280261464603627
Prevalence,Oceania,Both,55 to 59,Dysthymia,Percent,1991,0.029567082156110543,0.0411040012413373,0.020728702080125887
Prevalence,Oceania,Both,60 to 64,Dysthymia,Percent,1991,0.02957159311927727,0.042232434668737426,0.018890071638810742
Prevalence,Oceania,Both,65 to 69,Dysthymia,Percent,1991,0.027577171174382797,0.0404499957127808,0.017027442368504595
Prevalence,Oceania,Both,70 to 74,Dysthymia,Percent,1991,0.024257129504656725,0.03512162446739162,0.015729032655720857
Prevalence,Oceania,Both,75 to 79,Dysthymia,Percent,1991,0.020412943739843335,0.029617431597595507,0.013692262981062525
Prevalence,Oceania,Both,80 to 84,Dysthymia,Percent,1991,0.01696796476995526,0.02594428350397284,0.010774335517688633
Prevalence,Oceania,Both,85 to 89,Dysthymia,Percent,1991,0.014928033759604876,0.022766053299708572,0.009478562727210265
