measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Global,Both,80 to 84,Major depressive disorder,Percent,1990,0.04013462097632728,0.05138411607770088,0.029551259902461387
Prevalence,Global,Both,85 to 89,Major depressive disorder,Percent,1990,0.04157745565002932,0.05138887075933363,0.032818677969624906
Prevalence,Global,Both,90 to 94,Major depressive disorder,Percent,1990,0.04289475038866295,0.05700548331196782,0.032037048403081005
Prevalence,Global,Both,95 plus,Major depressive disorder,Percent,1990,0.04381181661443587,0.06312952837306239,0.028609228884486887
Prevalence,Global,Both,15 to 19,Dysthymia,Percent,1990,0.006536333587359056,0.009311756338795016,0.004301167217851321
Prevalence,Global,Both,20 to 24,Dysthymia,Percent,1990,0.011059614728553034,0.015507109918709298,0.007318688821725607
Prevalence,Global,Both,25 to 29,Dysthymia,Percent,1990,0.014588566505394427,0.020043722166414535,0.010197101323632688
Prevalence,Global,Both,30 to 34,Dysthymia,Percent,1990,0.017172260549958563,0.022663433229144804,0.01329878330428124
Prevalence,Global,Both,35 to 39,Dysthymia,Percent,1990,0.019281860406806996,0.024954873935437098,0.014949178950076662
Prevalence,Global,Both,40 to 44,Dysthymia,Percent,1990,0.020801973050377887,0.028152898827763128,0.01513247515494491
Prevalence,Global,Both,45 to 49,Dysthymia,Percent,1990,0.021606682002583956,0.02902108953676827,0.01580161220754894
Prevalence,Global,Both,50 to 54,Dysthymia,Percent,1990,0.02194538657044378,0.028632475236582623,0.017041164407299164
Prevalence,Global,Both,55 to 59,Dysthymia,Percent,1990,0.0221573185401261,0.028504484916941252,0.017189620645472102
Prevalence,Global,Both,60 to 64,Dysthymia,Percent,1990,0.021696382481530073,0.029202450876643502,0.015404881831443446
Prevalence,Global,Both,65 to 69,Dysthymia,Percent,1990,0.020311406060419892,0.027692961485028533,0.014440790557271854
Prevalence,Global,Both,70 to 74,Dysthymia,Percent,1990,0.018200108517682893,0.024067704219654637,0.013498913983040692
Prevalence,Global,Both,75 to 79,Dysthymia,Percent,1990,0.015417503760359611,0.019938794171630525,0.011784322756345831
